"LibraryName","SampleID","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"1-PMB-PR-FL-4","B_Paulared_Flower_4","SRR28148362","ITS","B","Paulared","Flower",4,"May","B_Paulared_4"
"1-PMB-PR-FL-5","B_Paulared_Flower_5","SRR28147162","16S","B","Paulared","Flower",5,"May","B_Paulared_5"
"1-PMB-PR-FL-5","B_Paulared_Flower_5","SRR28148361","ITS","B","Paulared","Flower",5,"May","B_Paulared_5"
"1-PMB-PR-LE-1","B_Paulared_Leaf_1","SRR28147161","16S","B","Paulared","Leaf",1,"May","B_Paulared_1"
"1-PMB-PR-LE-1","B_Paulared_Leaf_1","SRR28148360","ITS","B","Paulared","Leaf",1,"May","B_Paulared_1"
"1-PMB-PR-LE-2","B_Paulared_Leaf_2","SRR28147160","16S","B","Paulared","Leaf",2,"May","B_Paulared_2"
"1-PMB-PR-LE-2","B_Paulared_Leaf_2","SRR28148359","ITS","B","Paulared","Leaf",2,"May","B_Paulared_2"
"1-PMB-PR-LE-3","B_Paulared_Leaf_3","SRR28147159","16S","B","Paulared","Leaf",3,"May","B_Paulared_3"
"1-PMB-PR-LE-3","B_Paulared_Leaf_3","SRR28148357","ITS","B","Paulared","Leaf",3,"May","B_Paulared_3"
"1-PMB-PR-LE-4","B_Paulared_Leaf_4","SRR28147158","16S","B","Paulared","Leaf",4,"May","B_Paulared_4"
"1-PMB-PR-LE-4","B_Paulared_Leaf_4","SRR28148335","ITS","B","Paulared","Leaf",4,"May","B_Paulared_4"
"1-PMB-PR-LE-5","B_Paulared_Leaf_5","SRR28147157","16S","B","Paulared","Leaf",5,"May","B_Paulared_5"
"1-PMB-PR-LE-5","B_Paulared_Leaf_5","SRR28148334","ITS","B","Paulared","Leaf",5,"May","B_Paulared_5"
"1-VBS-CL-FL-1","C_Cortland_Flower_1","SRR28147155","16S","C","Cortland","Flower",1,"May","C_Cortland_1"
"1-VBS-CL-FL-1","C_Cortland_Flower_1","SRR28148332","ITS","C","Cortland","Flower",1,"May","C_Cortland_1"
"1-VBS-CL-FL-2","C_Cortland_Flower_2","SRR28147154","16S","C","Cortland","Flower",2,"May","C_Cortland_2"
"1-VBS-CL-FL-2","C_Cortland_Flower_2","SRR28148331","ITS","C","Cortland","Flower",2,"May","C_Cortland_2"
"1-VBS-CL-FL-3","C_Cortland_Flower_3","SRR28147153","16S","C","Cortland","Flower",3,"May","C_Cortland_3"
"1-VBS-CL-FL-3","C_Cortland_Flower_3","SRR28148330","ITS","C","Cortland","Flower",3,"May","C_Cortland_3"
"1-VBS-CL-FL-4","C_Cortland_Flower_4","SRR28147152","16S","C","Cortland","Flower",4,"May","C_Cortland_4"
"1-VBS-CL-FL-4","C_Cortland_Flower_4","SRR28148329","ITS","C","Cortland","Flower",4,"May","C_Cortland_4"
"1-VBS-CL-FL-5","C_Cortland_Flower_5","SRR28147151","16S","C","Cortland","Flower",5,"May","C_Cortland_5"
"1-VBS-CL-FL-5","C_Cortland_Flower_5","SRR28148328","ITS","C","Cortland","Flower",5,"May","C_Cortland_5"
"1-VBS-CL-LE-1","C_Cortland_Leaf_1","SRR28147150","16S","C","Cortland","Leaf",1,"May","C_Cortland_1"
