"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28148315",3.79960117547195,0.0137308594974911,"1-VBS-LI-LE-2","SRR28148315","ITS","C","Liberty","Leaf",2,"May","C_Liberty_2"
"SRR28148316",3.70518936953737,0.0102671756713186,"1-VBS-LI-LE-1","SRR28148316","ITS","C","Liberty","Leaf",1,"May","C_Liberty_1"
"SRR28148322",3.17625376164635,0.0143744378072009,"1-ASB-CL-LE-3","SRR28148322","ITS","A","Cortland","Leaf",3,"May","A_Cortland_3"
"SRR28148323",3.05994939452518,0.0187021600145077,"1-VBS-CL-LE-5","SRR28148323","ITS","C","Cortland","Leaf",5,"May","C_Cortland_5"
"SRR28148324",2.86502838684172,0.0173679228553135,"1-VBS-CL-LE-4","SRR28148324","ITS","C","Cortland","Leaf",4,"May","C_Cortland_4"
"SRR28148325",3.71344129812329,0.0129703900806986,"1-VBS-CL-LE-3","SRR28148325","ITS","C","Cortland","Leaf",3,"May","C_Cortland_3"
"SRR28148326",2.96396353302002,0.0203953606959453,"1-VBS-CL-LE-2","SRR28148326","ITS","C","Cortland","Leaf",2,"May","C_Cortland_2"
"SRR28148327",3.15104728613525,0.0150121726458254,"1-VBS-CL-LE-1","SRR28148327","ITS","C","Cortland","Leaf",1,"May","C_Cortland_1"
"SRR28148333",3.21992286450412,0.0155073975435333,"1-ASB-CL-LE-2","SRR28148333","ITS","A","Cortland","Leaf",2,"May","A_Cortland_2"
"SRR28148334",2.47255017582366,0.0176819009452264,"1-PMB-PR-LE-5","SRR28148334","ITS","B","Paulared","Leaf",5,"May","B_Paulared_5"
"SRR28148335",2.99483451654646,0.018574917076889,"1-PMB-PR-LE-4","SRR28148335","ITS","B","Paulared","Leaf",4,"May","B_Paulared_4"
"SRR28148336",2.33956076851067,0.0210649997469581,"3-PMB-LI-LE-2","SRR28148336","ITS","B","Liberty","Leaf",2,"August","B_Liberty_2"
"SRR28148337",2.55429953282561,0.0196193519129431,"3-PMB-LI-LE-1","SRR28148337","ITS","B","Liberty","Leaf",1,"August","B_Liberty_1"
"SRR28148338",1.84973021552149,0.0203665235070967,"3-PMB-CL-LE-5","SRR28148338","ITS","B","Cortland","Leaf",5,"August","B_Cortland_5"
"SRR28148339",2.66239178352544,0.0205780304337742,"3-PMB-LI-LE-3","SRR28148339","ITS","B","Liberty","Leaf",3,"August","B_Liberty_3"
"SRR28148340",1.92977206387077,0.0213383875533369,"3-PMB-CL-LE-4","SRR28148340","ITS","B","Cortland","Leaf",4,"August","B_Cortland_4"
"SRR28148341",2.11239209331869,0.0189986113782593,"3-PMB-CL-LE-3","SRR28148341","ITS","B","Cortland","Leaf",3,"August","B_Cortland_3"
"SRR28148342",1.82692388140592,0.0240942339302897,"3-PMB-CL-LE-2","SRR28148342","ITS","B","Cortland","Leaf",2,"August","B_Cortland_2"
"SRR28148343",1.43669916444111,0.0234689175984457,"3-PMB-CL-LE-1","SRR28148343","ITS","B","Cortland","Leaf",1,"August","B_Cortland_1"
"SRR28148344",1.88925193126017,0.0163373061345123,"3-ASB-PR-LE-5","SRR28148344","ITS","A","Paulared","Leaf",5,"August","A_Paulared_5"
"SRR28148345",2.04933825957088,0.0165922671238179,"3-ASB-PR-LE-4","SRR28148345","ITS","A","Paulared","Leaf",4,"August","A_Paulared_4"
"SRR28148346",1.96523554369865,0.0185497701429664,"3-ASB-PR-LE-3","SRR28148346","ITS","A","Paulared","Leaf",3,"August","A_Paulared_3"
